名称,别名,类型,年份,难度,算法标签
植物大战僵尸,,传统,2009,省选/NOI-,网络流/图论建模/拓扑排序/最小割
超级钢琴,,传统,2010,省选/NOI-,贪心/堆/可持久化线段树/前缀和/ST表
成长快乐,,传统,2010,NOI/NOI+/CTSC,贪心/随机化
海拔,,传统,2010,省选/NOI-,图论/最短路/最小割
航空管制,,传统,2010,省选/NOI-,贪心/深度优先搜索DFS/优先队列/拓扑排序
旅行路线,,传统,2010,NOI/NOI+/CTSC,动态规划DP/搜索/剪枝/轮廓线DP
能量采集,,传统,2010,提高+/省选-,数学/最大公约数gcd/莫比乌斯反演/整除分块
NOI嘉年华,,传统,2011,省选/NOI-,动态规划DP/双指针two-pointer
阿狸的打字机,,传统,2011,省选/NOI-,字符串/树形数据结构/树状数组/深度优先搜索DFS/AC自动机/离线处理
道路修建,,传统,2011,普及/提高-,树形数据结构/广度优先搜索BFS/深度优先搜索DFS
兔农,,传统,2011,NOI/NOI+/CTSC,数学/Fibonacci数列/逆元
兔兔与蛋蛋游戏,,传统,2011,NOI/NOI+/CTSC,深度优先搜索DFS/二分图
智能车比赛,,传统,2011,省选/NOI-,动态规划DP/计算几何/最短路
随机数生成器(2012),,传统,2012,普及+/提高,数学/贪心/高精度/矩阵运算/素数判断/质数/筛法/矩阵乘法
美食节,,传统,2012,省选/NOI-,网络流/费用流
迷失游乐园,,传统,2012,省选/NOI-,动态规划DP/图论/递推/期望/基环树
魔幻棋盘,,传统,2012,NOI/NOI+/CTSC,线段树/最大公约数gcd
骑行川藏,,传统,2012,NOI/NOI+/CTSC,数学/向量/构造/拉格朗日乘数法
三重镇,,传统,2012,NOI/NOI+/CTSC,暂无
矩阵游戏,,传统,2013,提高+/省选-,递推/矩阵乘法/线性递推
快餐店,,传统,2013,省选/NOI-,递推/线段树/深度优先搜索DFS/基环树
书法家,,传统,2013,省选/NOI-,动态规划DP/枚举
树的计数,,传统,2013,省选/NOI-,递推/广度优先搜索BFS/深度优先搜索DFS
向量内积,,传统,2013,省选/NOI-,矩阵乘法/向量
小Q的修炼,,传统,2013,NOI/NOI+/CTSC,模拟/字符串/枚举
动物园,,传统,2014,提高+/省选-,字符串/递推/倍增/KMP算法
购票,,传统,2014,NOI/NOI+/CTSC,图论/线段树/分治/斜率优化
魔法森林,,传统,2014,省选/NOI-,生成树/动态树LCT
起床困难综合症,,传统,2014,普及+/提高,动态规划DP/贪心/位运算
随机数生成器(2014),,传统,2014,提高+/省选-,模拟/贪心
消除游戏,,传统,2014,NOI/NOI+/CTSC,暂无
寿司晚宴,,传统,2015,省选/NOI-,动态规划DP/数学/素数判断/质数/筛法/根号分治/状压DP
程序自动分析,,传统,2015,普及+/提高,并查集/离散化/哈希hashing/启发式合并
荷马史诗,,传统,2015,提高+/省选-,贪心/堆/优先队列/霍夫曼树
品酒大会,,传统,2015,省选/NOI-,并查集/后缀数组SA/单调栈
软件包管理器,,传统,2015,提高+/省选-,树形数据结构/线段树/颜色段均摊（珂朵莉树ODT）/深度优先搜索DFS/树链剖分
小园丁与老司机,,传统,2015,NOI/NOI+/CTSC,动态规划DP/网络流/图论建模
国王饮水记,,传统,2016,NOI/NOI+/CTSC,动态规划DP/斜率优化
旷野大计算,,传统,2016,NOI/NOI+/CTSC,数学
区间,,传统,2016,提高+/省选-,线段树/离散化/排序/双指针two-pointer
网格,,传统,2016,NOI/NOI+/CTSC,贪心/平面图/平面图欧拉公式/双连通分量/分类讨论
循环之美,,传统,2016,NOI/NOI+/CTSC,数学/莫比乌斯反演/整除分块/杜教筛
优秀的拆分,,传统,2016,省选/NOI-,字符串/枚举/ST表/后缀数组SA/差分/调和级数
分身术,,传统,2017,NOI/NOI+/CTSC,暂无
蚯蚓排队,,传统,2017,省选/NOI-,字符串/哈希hashing
蔬菜,,传统,2017,NOI/NOI+/CTSC,贪心/递推/栈/模拟费用流/反悔贪心
泳池,,传统,2017,NOI/NOI+/CTSC,动态规划DP/递推/多项式/动态规划优化/前缀和/概率论/线性递推/向量
游戏,,传统,2017,省选/NOI-,拓扑排序/2-SAT/强连通分量
整数,,传统,2017,省选/NOI-,高精度/线段树/进制
多边形,,传统,2018,NOI/NOI+/CTSC,暂无
归程,,传统,2018,省选/NOI-,并查集/Kruskal重构树/最短路/可持久化
冒泡排序(2018),,传统,2018,NOI/NOI+/CTSC,树状数组/Catalan数/栈
你的名字,,传统,2018,NOI/NOI+/CTSC,线段树/后缀自动机SAM/可持久化线段树/后缀数组SA/线段树合并
情报中心,,传统,2018,NOI/NOI+/CTSC,线段树/最近公共祖先LCA
屠龙勇士,,传统,2018,省选/NOI-,不定方程/中国剩余定理CRT/逆元
I君的探险,,交互,2019,NOI/NOI+/CTSC,随机化/整体二分
弹跳,,传统,2019,省选/NOI-,图论建模/最短路
斗主地,,传统,2019,NOI/NOI+/CTSC,暂无
回家路线,,传统,2019,省选/NOI-,动态规划DP/深度优先搜索DFS/斜率优化/生成树
回家路线加强版,,传统,2019,省选/NOI-,动态规划DP/斜率优化
机器人(2019),,传统,2019,NOI/NOI+/CTSC,暂无
序列,,传统,2019,NOI/NOI+/CTSC,贪心/优先队列/模拟费用流/反悔贪心
超现实树,,传统,2020,NOI/NOI+/CTSC,暂无
翻修道路,,传统,2020,NOI/NOI+/CTSC,弦图
美食家,,传统,2020,省选/NOI-,动态规划DP/倍增/动态规划优化/矩阵加速
命运,,传统,2020,NOI/NOI+/CTSC,动态规划DP/动态规划优化/线段树合并
时代的眼泪,,传统,2020,NOI/NOI+/CTSC,暂无
制作菜品,,传统,2020,NOI/NOI+/CTSC,暂无
机器人游戏,,传统,2021,NOI/NOI+/CTSC,容斥原理/状压DP/bitset
量子通信,,传统,2021,省选/NOI-,鸽笼原理/位运算/bitset
路径交点,,传统,2021,省选/NOI-,LGV引理
密码箱,,传统,2021,NOI/NOI+/CTSC,平衡树/矩阵乘法
轻重边,,传统,2021,省选/NOI-,线段树/树链剖分/动态树LCT
庆典,,传统,2021,省选/NOI-,广度优先搜索BFS/拓扑排序/Tarjan/最近公共祖先LCA/虚树
二次整数规划问题,,传统,2022,NOI/NOI+/CTSC,网络流/分治/凸包/整数规划
冒泡排序(2022),,传统,2022,NOI/NOI+/CTSC,贪心/线段树/并查集/树状数组/离散化/扫描线
树上邻域数点,,交互,2022,NOI/NOI+/CTSC,暂无
挑战NPCⅡ,,传统,2022,省选/NOI-,暂无
移除石子,,传统,2022,NOI/NOI+/CTSC,DP套DP
众数,,传统,2022,省选/NOI-,暂无
方格染色,,传统,2023,提高+/省选-,线段树/离散化/扫描线
桂花树,,传统,2023,NOI/NOI+/CTSC,动态规划DP/虚树/状压DP
合并书本,,传统,2023,NOI/NOI+/CTSC,搜索
贸易,,传统,2023,省选/NOI-,暂无
深搜,,传统,2023,NOI/NOI+/CTSC,线段树/离散化/动态规划优化/树形DP/容斥原理
字符串,,传统,2023,省选/NOI-,字符串/树状数组/哈希hashing/后缀数组SA/Manacher算法/bitset
百万富翁,,交互,2024,省选/NOI-,动态规划DP
登山,,传统,2024,NOI/NOI+/CTSC,倍增/树状数组/树形DP/树链剖分/线段树合并
分数,,传统,2024,NOI/NOI+/CTSC,数学/深度优先搜索DFS
集合(2024),,传统,2024,省选/NOI-,哈希hashing/双指针two-pointer
树的定向,,传统,2024,NOI/NOI+/CTSC,图论/贪心/倍增/并查集
树形图,,传统,2024,NOI/NOI+/CTSC,树形DP/Tarjan/启发式合并
集合(2025),,传统,2025,NOI/NOI+/CTSC,容斥原理/快速沃尔什变换FWT/集合幂级数/子集卷积
机器人(2025),,传统,2025,普及+/提高,图论/图论建模/最短路
绝对防御,,传统,2025,NOI/NOI+/CTSC,线段树/二分
三目运算符,,传统,2025,提高+/省选-,线段树
数字树,,传统,2025,NOI/NOI+/CTSC,暂无
序列变换,,传统,2025,NOI/NOI+/CTSC,动态规划DP/动态规划优化
